client_id,month,client_segment,client_region,industry_vertical,tenure_months,active_products_count,product_lines,total_revenue_sek,total_gp_sek,gp_margin,total_volume,mom_revenue_growth,nps_score_proxy,support_tickets_30d,days_since_last_contact,contract_type,months_to_renewal,churned,nba_label,ltv_12m_estimate_sek
CLT0001,2023-01,Enterprise,UK & Ireland,Logistics,33,3,Verification|SMS|Voice,798974.72,351472.53,0.44,12984560,0.0,7.2,2,54,Annual,2,False,Expand,9587696.64
CLT0001,2023-03,Enterprise,UK & Ireland,Logistics,33,3,Verification|SMS|Voice,416286.72,178538.59,0.429,6951001,-0.479,7.2,5,48,Annual,5,False,Retain,4995440.64
CLT0001,2023-04,Enterprise,UK & Ireland,Logistics,33,3,Verification|SMS|Voice,428124.92,214574.14,0.501,7066586,0.0284,7.2,1,71,Annual,8,False,Expand,5283404.01
CLT0001,2023-05,Enterprise,UK & Ireland,Logistics,33,3,Verification|SMS|Voice,885724.96,449873.48,0.508,14784126,1.0688,7.2,2,87,Annual,3,False,Upsell,21988653.57
CLT0001,2023-06,Enterprise,UK & Ireland,Logistics,33,3,Verification|SMS|Voice,471906.96,235793.37,0.5,8134284,-0.4672,7.2,3,2,Annual,2,False,Retain,5662883.52
CLT0001,2023-07,Enterprise,UK & Ireland,Logistics,33,3,Verification|SMS|Voice,489784.2,231808.5,0.473,8474304,0.0379,7.2,3,19,Annual,5,False,Upsell,6100164.25
CLT0001,2023-08,Enterprise,UK & Ireland,Logistics,33,3,Verification|SMS|Voice,499038.6,194795.88,0.39,8661626,0.0189,7.2,3,86,Annual,1,False,Expand,6101645.15
CLT0001,2023-09,Enterprise,UK & Ireland,Logistics,33,3,Verification|SMS|Voice,531772.56,228446.27,0.43,9439209,0.0656,7.2,2,18,Annual,6,False,Upsell,6799882.08
CLT0001,2023-10,Enterprise,UK & Ireland,Logistics,33,3,Verification|SMS|Voice,547965.04,282567.95,0.516,9588424,0.0305,7.2,0,38,Annual,6,False,Upsell,6776135.68
CLT0001,2023-11,Enterprise,UK & Ireland,Logistics,33,3,Verification|SMS|Voice,529425.72,228747.77,0.432,9261317,-0.0338,7.2,2,42,Annual,1,False,Nurture,6353108.64
CLT0002,2023-01,Enterprise,DACH,Healthcare,59,2,Voice|SMS,233626.76,114038.47,0.488,4308131,0.0,8.7,3,85,Annual,1,False,Nurture,2803521.12
CLT0002,2023-03,Enterprise,DACH,Healthcare,59,2,Voice|SMS,122673.32,58801.75,0.479,2251683,-0.4749,8.7,2,44,Annual,5,False,Retain,1472079.84
CLT0002,2023-04,Enterprise,DACH,Healthcare,59,2,Voice|SMS,129963.52,55914.21,0.43,2383084,0.0594,8.7,0,76,Annual,1,False,Upsell,1652200.24
CLT0002,2023-05,Enterprise,DACH,Healthcare,59,2,Voice|SMS,272488.32,130353.36,0.478,4945442,1.0967,8.7,3,65,Annual,12,False,Upsell,6855915.13
CLT0002,2023-06,Enterprise,DACH,Healthcare,59,2,Voice|SMS,139549.52,77923.56,0.558,2522720,-0.4879,8.7,4,5,Annual,11,False,Retain,1674594.24
CLT0002,2023-07,Enterprise,DACH,Healthcare,59,2,Voice|SMS,150999.36,73845.94,0.489,2702314,0.082,8.7,1,73,Annual,10,False,Upsell,1960575.69
CLT0002,2023-08,Enterprise,DACH,Healthcare,59,2,Voice|SMS,152205.08,72222.05,0.475,2679503,0.008,8.7,4,71,Annual,4,False,Nurture,1841072.65
CLT0002,2023-09,Enterprise,DACH,Healthcare,59,2,Voice|SMS,165242.88,73125.97,0.443,2895874,0.0857,8.7,0,73,Annual,8,False,Upsell,2152850.34
CLT0002,2023-10,Enterprise,DACH,Healthcare,59,2,Voice|SMS,170406.6,95797.64,0.562,2942997,0.0312,8.7,3,52,Annual,11,False,Upsell,2108679.43
CLT0002,2023-11,Enterprise,DACH,Healthcare,59,2,Voice|SMS,171175.04,85650.43,0.5,2868790,0.0045,8.7,3,59,Annual,4,False,Nurture,2063343.93
CLT0003,2023-01,Enterprise,LATAM,Retail & E-commerce,39,2,Voice|WhatsApp Business,870989.25,385714.48,0.443,3842829,0.0,8.4,3,67,Multi-year,9,False,Nurture,10451871.0
CLT0003,2023-03,Enterprise,LATAM,Retail & E-commerce,39,2,Voice|WhatsApp Business,457779.26,208584.31,0.456,2045972,-0.4744,8.4,3,62,Multi-year,3,False,Retain,5493351.12
CLT0003,2023-04,Enterprise,LATAM,Retail & E-commerce,39,2,Voice|WhatsApp Business,453709.41,172588.76,0.38,2050667,-0.0089,8.4,2,40,Multi-year,7,False,Nurture,5444512.92
CLT0003,2023-05,Enterprise,LATAM,Retail & E-commerce,39,2,Voice|WhatsApp Business,968832.23,448260.93,0.463,4208357,1.1354,8.4,1,13,Multi-year,7,False,Upsell,24826132.13
CLT0003,2023-06,Enterprise,LATAM,Retail & E-commerce,39,2,Voice|WhatsApp Business,497306.09,200177.15,0.403,2124511,-0.4867,8.4,3,28,Multi-year,1,False,Retain,5967673.08
CLT0003,2023-07,Enterprise,LATAM,Retail & E-commerce,39,2,Voice|WhatsApp Business,493832.58,239937.95,0.486,2043897,-0.007,8.4,1,26,Multi-year,5,False,Nurture,5925990.96
CLT0003,2023-08,Enterprise,LATAM,Retail & E-commerce,39,2,Voice|WhatsApp Business,499474.81,229704.11,0.46,2022886,0.0114,8.4,3,32,Multi-year,9,False,Nurture,6062025.87
CLT0003,2023-09,Enterprise,LATAM,Retail & E-commerce,39,2,Voice|WhatsApp Business,492079.98,194999.47,0.396,2083558,-0.0148,8.4,3,29,Multi-year,11,False,Nurture,5904959.76
CLT0003,2023-10,Enterprise,LATAM,Retail & E-commerce,39,2,Voice|WhatsApp Business,508924.24,215995.85,0.424,2194436,0.0342,8.4,3,8,Multi-year,1,False,Upsell,6315953.39
CLT0003,2023-11,Enterprise,LATAM,Retail & E-commerce,39,2,Voice|WhatsApp Business,518394.52,237088.89,0.457,2279031,0.0186,8.4,2,4,Multi-year,10,False,Nurture,6336439.9
CLT0004,2023-01,SMB,Southern Europe,Healthcare,3,2,Verification|SMS,113802.56,49875.58,0.438,1990446,0.0,7.1,3,11,Monthly,5,False,Nurture,1365630.72
CLT0004,2023-03,SMB,Southern Europe,Healthcare,3,2,Verification|SMS,63063.88,35344.18,0.56,1099121,-0.4458,7.1,1,29,Monthly,6,False,Retain,756766.56
CLT0004,2023-04,SMB,Southern Europe,Healthcare,3,2,Verification|SMS,65430.48,31149.24,0.476,1130103,0.0375,7.1,2,21,Monthly,10,False,Upsell,814609.48
CLT0004,2023-05,SMB,Southern Europe,Healthcare,3,2,Verification|SMS,138853.12,68051.06,0.49,2420582,1.1221,7.1,1,40,Monthly,10,False,Upsell,3535922.47
CLT0004,2023-06,SMB,Southern Europe,Healthcare,3,2,Verification|SMS,77925.28,39900.4,0.512,1360141,-0.4388,7.1,4,29,Monthly,1,False,Retain,935103.36
CLT0004,2023-07,SMB,Southern Europe,Healthcare,3,2,Verification|SMS,81184.56,38968.76,0.48,1400243,0.0418,7.1,3,63,Monthly,12,False,Upsell,1014936.9
CLT0004,2023-08,SMB,Southern Europe,Healthcare,3,2,Verification|SMS,85925.96,46792.04,0.545,1496262,0.0584,7.1,4,36,Monthly,2,False,Upsell,1091328.43
CLT0004,2023-09,SMB,Southern Europe,Healthcare,3,2,Verification|SMS,87460.36,45282.48,0.518,1529724,0.0179,7.1,4,57,Monthly,10,False,Nurture,1068310.81
CLT0004,2023-10,SMB,Southern Europe,Healthcare,3,2,Verification|SMS,90677.24,37195.54,0.41,1569872,0.0368,7.1,4,73,Monthly,11,False,Upsell,1128169.95
CLT0004,2023-11,SMB,Southern Europe,Healthcare,3,2,Verification|SMS,93645.92,50479.17,0.539,1609842,0.0327,7.1,4,53,Monthly,6,False,Upsell,1160497.7
CLT0005,2023-01,SMB,Southern Europe,Technology & SaaS,9,2,SMS|Email,48965.53,23997.86,0.49,1647463,0.0,5.9,2,99,Annual,7,True,Retain,587586.36
CLT0005,2023-03,SMB,Southern Europe,Technology & SaaS,9,2,SMS|Email,23006.64,11388.83,0.495,758138,-0.5301,5.9,0,129,Annual,3,True,Retain,276079.68
CLT0005,2023-04,SMB,Southern Europe,Technology & SaaS,9,2,SMS|Email,21187.19,12221.81,0.577,703074,-0.0791,5.9,6,161,Annual,10,True,Retain,254246.28
CLT0005,2023-05,SMB,Southern Europe,Technology & SaaS,9,2,SMS|Email,40346.9,20599.7,0.511,1319239,0.9043,5.9,2,157,Annual,12,True,Retain,921991.22
CLT0005,2023-06,SMB,Southern Europe,Technology & SaaS,9,2,SMS|Email,20552.13,7877.84,0.383,648282,-0.4906,5.9,2,79,Annual,6,True,Retain,246625.56
CLT0005,2023-07,SMB,Southern Europe,Technology & SaaS,9,2,SMS|Email,19656.52,8546.57,0.435,607494,-0.0436,5.9,3,55,Annual,9,True,Retain,235878.24
