client_id,client_name,client_segment,client_region,industry_vertical,platform,am_id,tenure_months,contract_type,arr_sek,nps_score_proxy,last_qbr_date,renewal_date,churned
CLT0001,EuroConnect Inc,Enterprise,UK & Ireland,Logistics,Sinch Engage,AM002,33,Annual,2253805,7.2,2026-05-31,2026-07-04,False
CLT0002,PrimeLogistics Oy,Enterprise,DACH,Healthcare,Sinch Engage,AM009,59,Annual,4823024,8.7,2026-06-04,2026-09-02,False
CLT0003,SmartPay BV,Enterprise,LATAM,Retail & E-commerce,Sinch Core,AM004,39,Multi-year,1493141,8.4,2026-04-21,2027-03-31,False
CLT0004,DigitalRetail GmbH,SMB,Southern Europe,Healthcare,MessageMedia,AM006,3,Monthly,110828,7.1,2026-05-24,2027-04-30,False
CLT0005,PrimeLabs GmbH,SMB,Southern Europe,Technology & SaaS,MessageMedia,AM010,9,Annual,103257,5.9,2025-12-15,2026-11-01,True
CLT0006,CloudConnect Oy,Enterprise,APAC,Logistics,MailerSend,AM008,33,Monthly,1777183,7.6,2026-03-15,2027-05-30,False
CLT0007,TechConnect BV,SMB,DACH,Gaming & Entertainment,MailerSend,AM001,2,Annual,52144,4.1,2026-01-10,2027-05-30,False
CLT0008,RapidBank Inc,SMB,Southern Europe,Retail & E-commerce,Sinch Engage,AM010,5,Monthly,60189,7.0,2026-02-15,2027-03-31,False
CLT0009,EuroLogistics AS,Enterprise,Southern Europe,Technology & SaaS,Sinch Core,AM006,23,Annual,1163812,7.5,2026-04-11,2027-03-31,False
CLT0010,FlexPay SAS,Mid-Market,UK & Ireland,Healthcare,Sinch Core,AM010,23,Multi-year,127222,6.6,2026-04-10,2026-09-02,False
CLT0011,NordSystems Oy,SMB,North America,Technology & SaaS,Sinch Engage,AM007,4,Monthly,76852,5.8,2026-01-17,2027-03-01,False
CLT0012,CloudCommerce Ltd,Enterprise,UK & Ireland,Healthcare,Sinch Core,AM002,37,Multi-year,3010405,8.6,2026-04-03,2026-08-03,False
CLT0013,FastBank BV,SMB,DACH,Logistics,MailerSend,AM005,9,Monthly,84704,6.4,2026-02-22,2027-04-30,False
CLT0014,PrimeLabs AB,Mid-Market,DACH,Technology & SaaS,MessageMedia,AM005,13,Annual,173638,6.6,2026-06-04,2026-08-03,False
CLT0015,PrimeSystems BV,SMB,LATAM,Retail & E-commerce,Sinch Engage,AM012,11,Monthly,32215,5.9,2026-01-17,2026-09-02,True
CLT0016,NordLabs GmbH,Mid-Market,Southern Europe,Retail & E-commerce,Sinch Core,AM010,12,Annual,164398,7.8,2026-04-06,2027-05-30,True
CLT0017,GlobalRetail BV,Mid-Market,LATAM,Fintech,Sinch Engage,AM004,33,Annual,220203,6.5,2026-05-18,2026-12-31,False
CLT0018,RapidGroup BV,SMB,Southern Europe,Retail & E-commerce,Sinch Core,AM002,18,Monthly,36116,6.4,2026-04-05,2026-09-02,False
CLT0019,SmartLogistics BV,Mid-Market,Nordics,Retail & E-commerce,Sinch Core,AM009,11,Monthly,328560,6.8,2026-02-24,2027-01-30,True
CLT0020,GlobalPay GmbH,Enterprise,Nordics,Fintech,MessageMedia,AM001,55,Annual,1415888,8.7,2026-04-01,2027-03-01,False
CLT0021,OpenSystems Oy,Enterprise,Nordics,Technology & SaaS,Sinch Core,AM001,33,Annual,5053248,10.0,2026-04-12,2027-04-30,False
CLT0022,TechHealth AB,Enterprise,APAC,Technology & SaaS,MessageMedia,AM004,38,Annual,3252914,9.1,2026-04-27,2027-01-30,False
CLT0023,TechRetail Ltd,SMB,Nordics,Healthcare,Sinch Engage,AM005,3,Monthly,108561,6.4,2026-05-18,2026-10-02,False
CLT0024,EuroHealth Ltd,Mid-Market,UK & Ireland,Retail & E-commerce,Sinch Core,AM002,25,Monthly,487158,7.9,2026-05-18,2026-11-01,False
CLT0025,EuroLabs AS,Mid-Market,APAC,Retail & E-commerce,MessageMedia,AM008,16,Monthly,227417,6.3,2026-02-16,2026-07-04,True
CLT0026,PrimeCommerce AB,Enterprise,UK & Ireland,Gaming & Entertainment,Sinch Engage,AM014,26,Annual,2292824,6.7,2026-05-21,2026-08-03,False
CLT0027,DigitalLabs Inc,SMB,DACH,Gaming & Entertainment,Sinch Core,AM009,14,Monthly,31198,5.4,2026-05-25,2026-12-01,False
CLT0028,RapidPay Ltd,Mid-Market,North America,Logistics,Sinch Engage,AM003,34,Monthly,297405,6.7,2026-02-21,2026-09-02,False
