client_id,platform,product_line,product_hierarchy,destination_country,adoption_date,is_active
CLT0001,Sinch Engage,Verification,Data Verification,United Kingdom,2023-09-13,True
CLT0001,Sinch Engage,SMS,P2P SMS,Ireland,2023-08-07,True
CLT0001,Sinch Engage,Voice,Voice API,Ireland,2023-08-04,True
CLT0002,Sinch Engage,Voice,Contact Center Voice,Germany,2021-07-05,True
CLT0002,Sinch Engage,SMS,P2P SMS,Austria,2021-06-20,True
CLT0003,Sinch Core,Voice,Contact Center Voice,Colombia,2023-03-20,True
CLT0003,Sinch Core,WhatsApp Business,WhatsApp Business Platform,Colombia,2023-02-02,True
CLT0004,MessageMedia,Verification,Data Verification,France,2026-03-01,True
CLT0004,MessageMedia,SMS,SMS API,Spain,2026-01-06,True
CLT0005,MessageMedia,SMS,A2P SMS,Portugal,2025-08-31,False
CLT0005,MessageMedia,Email,Marketing Email,Spain,2025-08-09,False
CLT0006,MailerSend,Voice,Contact Center Voice,Japan,2023-08-04,True
CLT0006,MailerSend,Verification,2FA SMS,Japan,2023-08-28,True
CLT0006,MailerSend,SMS,SMS API,India,2023-09-11,True
CLT0006,MailerSend,WhatsApp Business,WhatsApp API,Japan,2023-08-01,True
CLT0007,MailerSend,SMS,P2P SMS,Switzerland,2026-03-04,True
CLT0007,MailerSend,Verification,Flash Call Verification,Germany,2026-03-19,True
CLT0008,Sinch Engage,SMS,P2P SMS,Portugal,2025-12-08,True
CLT0009,Sinch Core,SMS,P2P SMS,France,2024-06-05,True
CLT0009,Sinch Core,Verification,Data Verification,Spain,2024-05-15,True
CLT0010,Sinch Core,Voice,Voice API,United Kingdom,2024-06-19,True
CLT0010,Sinch Core,SMS,P2P SMS,United Kingdom,2024-07-10,True
CLT0011,Sinch Engage,SMS,A2P SMS,United States,2025-12-22,True
CLT0012,Sinch Core,WhatsApp Business,WhatsApp Business Platform,United Kingdom,2023-04-25,True
CLT0012,Sinch Core,Voice,SIP Trunking,Ireland,2023-04-29,True
CLT0012,Sinch Core,SMS,P2P SMS,United Kingdom,2023-04-04,True
CLT0012,Sinch Core,Verification,Flash Call Verification,United Kingdom,2023-05-09,True
CLT0013,MailerSend,Voice,Contact Center Voice,Austria,2025-07-28,True
CLT0014,MessageMedia,SMS,SMS API,Austria,2025-03-30,True
CLT0014,MessageMedia,Email,Marketing Email,Switzerland,2025-04-03,True
CLT0014,MessageMedia,Verification,Data Verification,Switzerland,2025-04-07,True
CLT0015,Sinch Engage,SMS,P2P SMS,Mexico,2025-06-03,False
CLT0015,Sinch Engage,Email,Marketing Email,Colombia,2025-06-29,False
CLT0016,Sinch Core,SMS,P2P SMS,Spain,2025-05-22,False
CLT0016,Sinch Core,Email,Transactional Email,France,2025-05-18,False
